,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
0,Wii Sports,Wii,2006.0,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8,322.0,Nintendo,E
3,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8,192.0,Nintendo,E
13,Wii Fit,Wii,2007.0,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0,Nintendo,E
15,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,Nintendo,E
77,FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,EA Sports,E
86,Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,2.57,3.86,0.66,0.91,7.99,,,,,,
94,FIFA 17,PS4,2016.0,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5,398.0,"EA Sports, EA Vancouver",E
119,Zumba Fitness,Wii,2010.0,Sports,505 Games,3.45,2.59,0.0,0.66,6.71,,,tbd,,"Pipeworks Software, Inc.",E
122,FIFA 12,PS3,2011.0,Sports,Electronic Arts,0.84,4.3,0.11,1.39,6.65,,,,,,
126,FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0,EA Canada,E
141,Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,Rare Ltd.,E10+
143,FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988.0,EA Sports,E
183,Madden NFL 2004,PS2,,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,94.0,29.0,8.5,140.0,EA Tiburon,E
198,Mario & Sonic at the Olympic Games,DS,2008.0,Sports,Sega,1.63,2.45,0.44,0.57,5.09,,,,,,
202,FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89.0,51.0,8,233.0,EA Sports,E
205,Tony Hawk's Pro Skater,PS,1999.0,Sports,Activision,3.42,1.38,0.02,0.2,5.02,92.0,18.0,9.2,69.0,Neversoft Entertainment,T
213,Madden NFL 06,PS2,2005.0,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88.0,29.0,8,121.0,EA Sports,E
227,Tony Hawk's Pro Skater 2,PS,2000.0,Sports,Activision,3.05,1.41,0.02,0.2,4.68,98.0,19.0,7.7,299.0,Neversoft Entertainment,T
237,Mario & Sonic at the Olympic Winter Games,Wii,2009.0,Sports,Sega,1.87,1.96,0.22,0.48,4.53,,,,,,
238,Madden NFL 2005,PS2,2004.0,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,91.0,30.0,7.9,78.0,EA Tiburon,E
241,Madden NFL 07,PS2,2006.0,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,84.0,29.0,8.2,39.0,EA Sports,E
249,Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,Activision,2.66,1.29,0.01,0.46,4.41,97.0,34.0,7.5,298.0,Neversoft Entertainment,T
250,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39,86.0,19.0,8.9,33.0,Konami,E
264,FIFA 15,PS3,2014.0,Sports,Electronic Arts,0.58,3.02,0.04,0.64,4.28,,,4.5,109.0,EA Sports,E
271,FIFA 14,X360,2013.0,Sports,Electronic Arts,0.92,2.89,0.01,0.4,4.22,84.0,41.0,4.2,435.0,EA Canada,E
274,FIFA Soccer 06,PS2,2005.0,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21,80.0,32.0,7.8,47.0,EA Canada,E
278,FIFA 12,X360,2011.0,Sports,Electronic Arts,0.84,2.78,0.02,0.53,4.18,,,,,,
283,Madden NFL 2003,PS2,2002.0,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14,95.0,25.0,7.7,65.0,EA Sports,E
286,FIFA Soccer 07,PS2,2006.0,Sports,Electronic Arts,0.71,2.48,0.03,0.89,4.11,,,,,,
291,World Soccer Winning Eleven 9,PS2,2005.0,Sports,Konami Digital Entertainment,0.12,2.26,0.9,0.77,4.06,,,8.2,23.0,Konami,E
300,Golf,NES,1984.0,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01,,,,,,
